ticker,company_name,quote_type,exchange,exchange_name,currency,country,sector,industry,website,employees,market_cap,first_trade_date,age_years_since_first_trade,business_summary,listing_source,updated_at_utc
0P0001H9RM.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001HHRR.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001HI40.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001HI44.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001HQM8.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001I39P.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001I3F2.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001ILO2.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001IXUO.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001J62O.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001JF7E.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001JF7G.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001JF7I.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001JJ9Q.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001K0DB.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001K9TH.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001KKVQ.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001KRRY.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001KUBJ.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001KYJE.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001LMS3.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001LOAE.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001LXLH.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001LXLJ.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001LXLL.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001LXLN.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001LXVE.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001LY0Y.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001LY12.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001LY14.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001LY18.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001LY1C.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001MVBP,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001N2YH.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001N4II,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001N8MZ.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001NGF5,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001NMH1.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001O70F,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001OCCH.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001OCCL.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001OF6V.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001OF6W.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001OMGB.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001OO5K.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001OO5L.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
